código;componente.curricular;ano.periodo;turma;carga.horária;ch.teórica;ch.prática;ch.semipresencial;ch.outros;matricula;curso;faltas;nota;situação
10803;010803-DESENHO TECNICO II;2008 / 1. Semestre;EA11;68;0;68;0;0;31f167bb057e5ce5aca0b7ffb6ef09dd150be4c911e100a51a8de6f6c579fd20a7ba4204adad9594c53288e2d3e26259f9f10e0c4b08e379e666202b2a45b8f7d0a582d7dd07ea71874fa0cadb57607d7effc7252b7e7a9d59cf16b0e473780be5c9955752de9ec10eb09b83090aacf401d1f20a21b81db7f536e90a237fb7c4cca9009ea7648ba8bb0b7b88a823f41324fed5ea807636bfc8cd4a32d8796b0d3d6a245a8d0568b4eabf37151ecb6989a13e2ae4e835254a67a5d9fa635bc9637b0869a4172163a2f6b91f2da33855e3c38f54615d082bc8f22b83036908247de3c6607454b920ced74cc4d5445418ffdee6d8050794e9210f2848496905fec0;BAEA;4;8.85;Aprovado com nota
10803;010803-DESENHO TECNICO II;2008 / 1. Semestre;EA11;68;0;68;0;0;7a1ef267db3cf0e7a059c2261233f891f5ed0ecb7aa3002d5c9ad4ffffee9d8c0935e28dc4a3d5884ad94a9d4936e052ba8881e920dd713850ab5a4023469c8870c50530c14fc493157411060cee949d3008949cd556346356718006164be776ce4a05237b295b9f4218ad9351557912ee69ebedc03279b88dbca847162d59f277e10c28b0d07b8435e63495e4683ffa5d8c920168cd266f99b106bdc7632a857de372f13691223b9a67334a0f6ce3475267edea64e710254e2aba037371ab958e20aa9ce1aebf505cbf18571ee4fbcec15b0af70486210828cddb8f81d7effd0c934969fd4a8014a7a3e0028bc4718a6c5b4cc25388c61cb231a15134bd2e12;BAEA;0;8.45;Aprovado com nota
10803;010803-DESENHO TECNICO II;2008 / 1. Semestre;EA11;68;0;68;0;0;137fd9431c97bf0b155c46d8e3b489f31e4c6df556cf17c1ff37e49d72618118146b65e279b9312c8f9eded603273f82aecf46a3ab50d89e2e0a627cbcd0a4ab7e891356612b4697206b56a247060eadd20691a6e824133a051a97341b3fb48c6b736ef2e2ecafe8e9e5d9a56c69a6c84a1b348f3d42a9fc2a84b62c9d5b6f20993de589df2eea82a7dedacd7aa77846e52edd1a26344e5b56b0d369c94d2fb369d9bfc8839856556790eb9aec50d291799f4e4d8d5898f23a67cd25079f6bc5a7e94a6f5ff35e3ef24eeb535140494012e0f5cd72075447a207d8100f523aad58a5ce65189f1649860b35682e5e95a5e52e941c36ac57aefdf584a762d6ad2e;BAEA;8;7;Aprovado com nota
10803;010803-DESENHO TECNICO II;2008 / 1. Semestre;EA11;68;0;68;0;0;cb5468671f4937cc00ed0d76e151174306b0ccd2479cb9d9d98211d88bafd942dc2fae85b7039b7b07c29d09a146241c71692a4f0a7fcd4e6012130dc8e53625570101e9785fa39758c43bdbaad0e6e947fa8e463071b4ce522266a76c7914f510f15e28089329c651035f86c706c8720551dc9cdb9be4f3baca54c7187f247c11accb21e957d0414ea149369f1985c8258c15fee191ef3974856617da8fbdca41f5002346835ec32bad1592947f88cadfa2c9962c72329667543ba97172c814c738e71a22f4b7ce66c3bb21fa25b4b1f0a5ed6c710436e6ee29f33db290a44e534616c62454f5205a80548c986eaf7ef4cabd5074ac2b1a5d45f7a16c1e6580;BAEA;4;8.9;Aprovado com nota
10803;010803-DESENHO TECNICO II;2008 / 1. Semestre;EA11;68;0;68;0;0;25005bf8147bf19cc3cc7d35326302e33be00fa476dd46ae6d66adfe418148dc9cc8a6bfef4598429b7db6919798d4cb48e7d2d37f1388d9132ac1263b5927385a543a49df832c982c471c9d61503060243eb4d904dd459bb131b2613048b03370ee985c8f6b293834f182643e34bb241b928b872fbec1eac2a5d9ab684961321c03418a439eae970bba777a39c2b29e65f45cbd406cf39c2c9d2f6da6928a3138590dad6bd2818e4590df8477b9e13c613311b0b6180b1cf6a037c995ebbeb6c126c4ef79a5abd0a9388ce47ca388ec115ebb6cdb96afb4c1d5b1adbcbe4ed126173cf9c851b42d1de5e2230b9ce7111864f8167c52b5a72df8674200600c45;BAEE-2010;8;7;Aprovado com nota
10803;010803-DESENHO TECNICO II;2008 / 1. Semestre;EA11;68;0;68;0;0;d074eb3bb97dd44e0bede545213c9b8f580281eb632df0c0263c6049a16a5eda9679ee11b8f9e203ab25c341fe5151521d9fd78b79bd8a3b4f513085f48246bee4c9eb6fea5a753f6e46e86d7ea99aafc46f58ccf2b66d5a63d46f427dc2e7fdc9ffdafdd8814a82173bfbfc0c31d5ed003d819dd27d6c7f323088f921bd674e13701ec67f0074616b4a40783788eba5b075ad5e43683a87f2ba9b3486dc75982d7f9083c71efd16e1d2663fad579b22dc6b9380ee13f6e643ffeffc2d4e05ab7df3af118df5b2433e71ee65f0c0e2f2b583359e4e0f31ef8c031461c3464308fd70763715ca7f986f03147d6f7147fdb8984d5f88560b9c1b10c02c3abb3584;BAEA;NA;NA;Trancamento parcial
10803;010803-DESENHO TECNICO II;2008 / 1. Semestre;EA11;68;0;68;0;0;b48e3160f52e7eddf723c257fdda8ad8bd6c0447f36284043c3d22a96c9766ea5584a35f21752bdee975ff4f040ff2eb2b85fcb8f5c665469feb44907cc57c6359e41144d480a420c4f4360219890b3277db188c7ac52bd4a936f47097c8099e5a48decf8bed7f2d72dcefec12cf38fa25d6cfe12dccdd0db5ebfb26eeb91db20cece250bdbc30b91e1d6d4b0a89d958334bd249723b3631e4667d564c43cc2b7232ddfa15bc4bc8b192e8508e3c34641dfc182f5ca094bd56268e8e6335f88bf22e0b022abd7613665a6d23a90d8860819c4d4b1a1f97561ac6cdedafb54b0d82eeff8e92c16fd9af5963f1fc8a8a23569dc4f25d996f1df235e9ae09e82251;BAEA;0;7.4;Aprovado com nota
10803;010803-DESENHO TECNICO II;2008 / 1. Semestre;EA11;68;0;68;0;0;577172f25830fba51605ec01306b41b4d0f94d81c96ad51350ef3a1266b4992284fc8f20f5c88f459836b6336661baffa0966cbba59cb36d8e9cc819567b7f4c750aa2be666ccbd24f794ff7e05faf955fea819771b427706fa0c216d41011d8af5a9928615c72bba6afca9c194d4e705f3c065606a5d4c202f6c87a05d247d978a1dc2e7cbd5a6b3318534723d609a163c3c2ac248bbab6a53664c7600eb0c54ef1e61551010c8a43a3882fe1f1218beffee6e5936746a1b2b1e9c0f72ef9ccad2f7602feb0e27305341fadc2789a981a7d345ab02276da1143653355958ee2739d48694db0672a923d82d704d112c05b555bea9eabd289dd7f3f0733f09ec9;BAEE-2010;4;7.6;Aprovado com nota
10803;010803-DESENHO TECNICO II;2008 / 1. Semestre;EA11;68;0;68;0;0;41d3b0cac62d91cba887db36d5cc2bda29c6b7dcc7025e998086946015f035f71dc155ee44d4daa628dd3b23f2532167da144451dbd73783a62763c4d0c6c92bdaa3f306bd4fcc308921dae1783fe624c9628d8acd310b6676765336209f380cb73213076af993d6f4717f70ec371a3cadd57f732282245b86294172e9decaf0f6986e0c182ed46e4f12fe9730bc1a8b84397c4ddad45c7fba7bce3a44f9cf806bfa0f1d59e989395f5d407bd68e39c30f137bba2d8e5028e265b8ef1a8328bb5fb172398e7c35bb6af25ded10981f720b115cfb7d8684e0cdd38c8265575a77c27c7ad7cf1dac933ed6c3732347b1e7f31826374b4af2735ae71205b7563950;BAEA;4;7.55;Aprovado com nota
10803;010803-DESENHO TECNICO II;2008 / 1. Semestre;EA11;68;0;68;0;0;70e1e47eb6e9be7affbb0a962db8435b93f7a69d3e1a628a3f7d271fff6b4624d21c544ce74941892baf1328fcb34e318e2ec322318284611bc3226760646dd0f68b6531c978e18994753da6df780872839f36e0b18355350a6ce3c8f308e4f0e5d29187381b84a10842d7e5baa2db5ee3aba689c7adda4606fbb1b5e7b590722885a7cb30c5c8942bc8e277548a4bc0747791bf702ebe927b88dfbe738e47cc719cb52d793ca4de209bf708581c9c14450ed19260842eb3e0946adecc1cefa079b92c10a5a8c6a2a7b6cebd49e4e287abe0b82f752d33239041939a97059aa7e50c4b011ab8e6363afeaa369afa15400cbd9e7c8f925fb941001990af1e7bb0;BAEA;4;8.2;Aprovado com nota
