"MATR_ALUNO";"COD_CURSO";"ANO";"PERIODO";"COD_ATIV_CURRIC";"NOME_ATIV_CURRIC";"CREDITOS";"MEDIA_FINAL";"DESCR_SITUACAO";"ID_CURSO_ALUNO";"TOTAL_CARGA_HORARIA";"FORMA_INGRESSO";"ANO_INGRESSO";"FORMA_EVASAO";"ANO_EVASAO";"SEXO"
"862a597dfbfadf6bb77a5c32c0ca87c9f9158060cf008a46e89c9a1912bdd841e6ac91f809337ddcfba51d71d20772203a5e232fb08ff75f50588fc8786ab0c6a2d6904999e7b587c543ad6f6c6fae00a82541dcfbd1d665bd7276a9d7ac0b1a72bc55bbbfce14ce4a3bf49652d499afb5dcd6a00a35e0746f2f16bbb023efca0c6219cc0d7d711979b64125e89e27dc03dd3ff5030cad0ee15f4d94a804fc39035e109607106083ac1713b8d49d184492a325926cd2afc2f839efeacab3262f98e1e2c9745cb10c5b10b9aab7761b4d68d80cfbf85a29de51799cbae80225aa0a48f9e1c38e7d4eb1368475d69d1802ea9d20414eba2afd15ebe8e9f750a9e6";"BAEA";2007;"1. Semestre";"10801";"DESENHO TECNICO I";4;8.8;"Aprovado com nota";49;68;"Processo Seletivo - Vestibular";2006;"Transf. Interna Por Reopção de Curso";2009;"M"
"57effc59e0826d042a512d320518c8a94a6b3e12a0a436f5e379852c67247a6e16d819808976f0acee5d10f7fef7397f7dc2e8ca88ed5e53776d15667ef4755dc9c2e55858ad8a7cd4f43228d971607b91bd0bbe3e9994fb5654528840159646e37306d308b876822484f3e5f9e8f7a0bd1461de728142213424abce028f6d1fbbc671ae37dfda4b3c1a14cacc82f373d15602a41e28b1146883e9c1d9343415e262b8892eccf5dd24cd4d74ac5288abf79a553e6f5d73ccbe20af5d5f8dc98a9e4003fb474f0868a7abbd85df6cc254b4482ed8bc5669513ec7d5d1252fcd54f48eaf7ac2cdfc037fd5d22c12b7127111e9586956362f91ac822352654e4e05";"BAEA";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Aproveitamento";49;60;"Processo Seletivo - Vestibular";2006;"Transf. Interna Por Reopção de Curso";2009;"M"
"b8d5e7642fc0a534cc63645583244e1b066fb79d58437281bcf7ec951ce1e7064891c1fc68df1a1c0b2091f58040d6ec9ed945d05e2ebec9c502824d510cf812fffbcbbd7e350bcc98f8b1e5924c25a57d72effa395d14833f3338ebade845bd311994f4141cdcfa7d10e012b6bc4b405fa6b5a0e210b22426d41ce539b0ee61148be10948d7ca92c122f8caf74c3a053f0fc6479e7e64370ab08998c3a5a1162ac75104c26ea58c27d765b21759dd35b774c91f4ff8635cb446657f349fe83f2df99bfff71e6f9c7608d6b7c57dba91c867c278c5bfa47384517517ad324e034fd99f8b70b2cca6afc0cba465ddafe985b1aed5aadca22db7e9b0caa9f215ed";"BAEA";2007;"1. Semestre";"10801";"DESENHO TECNICO I";4;8;"Aprovado com nota";66;68;"Processo Seletivo - Vestibular";2006;"Transferência";2016;"F"
"d9d43d5dfff17f71f2d61af154e6ff5990bb6cd34a16f0b7898181de37ec76422bd74e89ba0f71fdb8f5abcab86027812fcee03663f960221242a7763509e6ca14f85ae3516dcac39b83ded72a455bb4c12baa28fc1067d4eff227507ff2c19e35c62e008b3bd128134ae7c12e6e1c8ccc361070d962cebfa547dc36102aa7b2beb4b9c7802175879afa76e2208116eadbf22322b62ecec0ac05798cfc3c79ba13309297d6e46b71005ef876d0a4ba2a34df17c26b56636cd608f67c0137ba4da13cd9f9fe3256642f3459ec782ff39539bb5ae010ac094b50a50ae50a65a20dfb0c7551567404914563790af9438de93d84e4029e439ef5cea8cd5ca9562b01";"BAEA";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Aproveitamento";66;60;"Processo Seletivo - Vestibular";2006;"Transferência";2016;"F"
"2bf3b1bcd7638be5970c44e4b48ff85e12357ff70d5e934a629711fa1abb64d1bfc9241080ee1970715c7736bb9f3a73183a9d7f2b5420aa0943ad7d40dd0deef7e4cfcbb4cd900086f2f12f4f90a55a4920c09a2752afb35448a63a11f55bca7e3434939c188d93ddbaea5a449a0e5c4c94fe7cc5d3380b3ba8b8ac748791430e9280c2704687baf03e41a7f613e15a32ee9d71bc781fa72afca52123dca6c822cfa81a8117900d8bcbe2f2038390d93a63d5c3f48049b911d358decbd0f01aefce748f0cde00f56ad1abeb2d0c6095eee39dea001a51bd2f00261132c8a7bd29a386bcb66895852b5d48195a5dfe4ad21aecff5ad0027b350f1fe5123c2556";"BAEA";2007;"1. Semestre";"10801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";631;68;"Processo Seletivo - Vestibular";2006;"Abandono";2008;"F"
"74576e31ebe5a8157e15bfc817a194e47f48ce17befe9fb2bba5b79f065b2d77a1f42612385d5f5b6e90b02e2d28f2b204345412c8a80e506c681f11a194e41752a194c9aa31028fb746744aa7289ccb9a2c5300d99de2550fc7a61058039a2488048973f2a85bd7e9f8d543679fbe5d81147ff11353fb66cdf14c62cf4c0918dba2714c9f8b4fb10b356c17da8a6fe7bfcf168eadc6efb178e404a28a3a4641cff732bf3552e0268a504dd4edea9892e7c760dd4845352bce2b19003decb2585e609df36c0e22e9c56d504530946714d6289a4508163b4038f2a8f8cd6f4a3f52d5d17e586202dbbd4e4c44d574043a54e2a9d043285a8b8eaa4b656cc3dfbf";"BAEA";2007;"2. Semestre";"10801";"DESENHO TECNICO I";4;7.3;"Aprovado com nota";631;68;"Processo Seletivo - Vestibular";2006;"Abandono";2008;"F"
"cf5cda3558eb94a7dd30ecaf033649e293641131f51f278140dbb90cd590b4bde19d7b6f8010667a031e9f4cdeb22f78883dc018e9930c5f4fa2b430bac99b997b1e945c508dda41c8d2af99fcba984aa25f6070ad275a74b3e9340d0f3e4c48231230d3b93097260f2826390ae971c03850fabef1a4a8c4343665900d6daa892207e84b4e5c4aa0469610ee109b7d5f15c4ac76469e7f3fb0da631511a086a0ba7c5ac9e801550214396ba1ec492956b9e42cd81530116e1a3913ec75f05a09e81097fbb971edd88acd933b2a5bec43f36c4bb098e313be50493750f655cbd4b649290c169795cc1a126f18c56cb5e33d9f4d5d2a482b2ca478bd5e2bb5df6d";"BAEA";2007;"1. Semestre";"10801";"DESENHO TECNICO I";4;7.8;"Aprovado com nota";75;68;"Processo Seletivo - Vestibular";2006;"Formado";2011;"F"
"e40f676b93e2802c2dffd1555deeade858d8c4500c5af2cffc540667c6a33fd948d691a481c057977cbe7a86dd34b613a7cdd6ec2022588aafe4c33ce86a275a26c3108937e1ada234dfedb9b161d3d75a3830849884e5e799f7d565de74eb0bb01c3a04861d5e7482a67e27553b6424e159fdca6445090f6e0b74210996221658561e51f7ba64fa79e42a438e76f7451fe35ce08cdb09fc2991c3648afb4be1a7059861f422ee850cae2a479afe7aae0ca9e0f584229a343592360eaee7f2a553591b7200aa815112583b7462624598e5502259f6d87c420e45c034043f7f2086b083bf215205f01c169e7e358214d308d2346c406dfa1e2196ee8a75e6e2ad";"BAEA";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Aproveitamento";75;60;"Processo Seletivo - Vestibular";2006;"Formado";2011;"F"
"5fabf750d784318d735fe88d5209691b279422db91c39f010c8c83f468f58ac199b32f1f444a3ceb3278b5822b86340c11ca6227f70a1fe3384642cf07256f5c22405025a1a9499d6bcc81ba98345041d6ea369a2c25c8a8b21101071f97203fa95984b460b8d8aa85495ddc6fd9948f2d2eacfd1974068d30915d5b99982ba571e641215ae143550efc8013b8635406361671a2b3e93a8376cfd651a6f73d857a672d4c64ac92489a9764b9ba17630ea950ec459ed32714aacdc2f89ec8a2429eee0b3975c03d4af0abd3fe92f80895cc8f5fcaa84039bbf1495aca27242fc562367eca778a9002cb2a15f8c3e5485ae38f79cac82098be6366d9251f9e9293";"BAEA";2007;"1. Semestre";"10801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";74;68;"Processo Seletivo - Vestibular";2006;"Abandono";2007;"M"
"8320fdf586bad68216d9d9c88c399b2b8398e5f9bcaae3cc76830d96eefe99012c23999d8ad51b142b28f07d92a81d2869fa4eb75a2495d3dc428613c16925755f239f2034c2d7a4aea5d58f2f373f4014213fc6506d51c3a903a7bfef2e3254ecd1a0ecf533fc1ecf3b5c6ff7b844f813b38f9874089edf1bc488fbee0a059d273b0cd13c421cdc997fa2eef35bf6761b7a317ae22753b213f087d7393fa4dddcb500e89b29d1e5a7e2e1859d1025972d6b131fc8b1ebd0fc5d358e72e071dd29603d9af195305b94ed9131ddbad832acbe51c5914ac2e9abc28f9ce7173be89ae22bb13fbf148ae6c4818d802d32513421b7c9eaa811414321f337f0fd406b";"BAEA";2008;"1. Semestre";"10801";"DESENHO TECNICO I";4;7.8;"Aprovado com nota";78;68;"Processo Seletivo - Vestibular";2006;"Formado";2015;"F"
