"MATR_ALUNO";"COD_CURSO";"ANO";"PERIODO";"COD_ATIV_CURRIC";"NOME_ATIV_CURRIC";"CREDITOS";"MEDIA_FINAL";"DESCR_SITUACAO";"CARGA_HORARIA";"FORMA_INGRESSO";"ANO_INGRESSO";"FORMA_EVASAO";"ANO_EVASAO";"SEXO"
"c395e3206b3d213e1a277eb37e610de549c1f6c9d6b06f73bd07f7627cdf16e865fad20c69e47ee4662df108a588ed4fcd750b518a271ffd5be20336859d0d2b3576be3f0072d14dc52bbbf465ab8dac4d7bbcd1fd06cb64b3030aad565eff9c574787b8fd043001b08a8c0bffb09f4fbbb9e47acd381e8fa1178adfccf4d33c11c0f1c31884e5cd480f98dda8f35e21382b801fc97f3e78eefd1f4034afc42c0e3fc66242d9cf1a6b17b9364a48ac5af5d8139b47d79ad9392d85a9b17bff007158db758daf9b01e4188427bff1246b8e6b0419e028e8753ec292efb9e07b1b698f0cdcbe6072795a9d6e8d03c965b02d96aa6c9d969860ae96cbaeb248fc5b";"BAEC";2007;"1. Semestre";"10801";"DESENHO TECNICO I";4;8.5;"Aprovado com nota";68;"Transf. Interna Por Reopção de Curso";2009;"Transf. Interna Por Reopção de Curso";2016;"F"
"c351d7fef044c0caef79e575a05190c22054cc982386da301a9bd8ca88990ed311f881e124ec26f0e6173eb1b251261fc878cb091b70d879dfd392da4c1b05018df7d0929ba11eff66a67dc265ee5211d98734b5b808aebf4f55bb28387bffbc66dd4855305ce7839cdb07ad7e7059ce6d8416cc463d8f17180cd318250c9c58f03fc0c2d95e4cce7f291956f7cb188d04ffe00e03bd06a4fc259c7675daeb1471c3919a3fb8bf7cccdaba4a5398171ea588535a564e40a31986e684ff861e3aa5909ab12d49842cbe68a55cc01a90a92b2e5ce6c04e991499f08fc6289e5f7de1f400fd88c58b1d754423d8fce85831a18fb8e0215b93bdcf5ba40397e6cd8c";"BAEC";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Aproveitamento";60;"Transf. Interna Por Reopção de Curso";2009;"Transf. Interna Por Reopção de Curso";2016;"F"
"a0dcaafc5f6d2087dcc4bfe659b098ffab9fa3001b6a317c802c621548ca8a0811c44964688e71285c73735364fe155f449d1f724ab8905aab027a2b1b106a6c42d6f9e6f474d5667a34950e41ad7b5df4f278f4939787aa768495a06152e77f51648ebb44dc687fee16a6377b29ec461669d5efdefa846406ff34b3fe43e9e0e3bbd84c2f2ea1e46bd18ab729fba9623889a38f78387a003f4c18398b600bf030845d8d823b0a121ee5503fc0030555b3ccd400facde0ef30970923f86bb57d610ec9ee12fcc5d2d6df8daa9ac94efd736efefb4fdab1c357aa95cef0706a32955232c69a98cf72d59c5e507f0fe7852dc823aa8c119747f3ccc911bd515bde";"BAEC";2010;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;8.3;"Aprovado com nota";60;"Processo Seletivo - Vestibular";2006;"Formado";2013;"M"
"9c0ccc3bf3240b684ace672b61801f9d73866b5139dc7f1254b0285ec24c0f5bd2c7fd0ba4b7b4f21225129b32fe2686093f701b7663b9feffb786205de556b4fbd9c86c781472b5fb7f335f24d5c42c504988f004024a021a8f82af7c41b43be322b248ed720b65a8442c0ae9fda17d558a0cfdd01b18abb79f1f1f2a7f531d8714988ff6c92615596db183db54b1352a5fc64d22e49962fead127964c1fb326047ea7f5c382cf7f02262c7bd1593585fda40e6f1dd3e1aac2aa5fdd995c41293e9ab039aeccbc678b6aed7d4db427d92ecc79a6c794a02fbf54d719b4d2a59e7d75a003812b268a6df1e21a06e64d478d7531b8b4ca698b86bb487f1797f25";"BAEC";2009;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;7.1;"Aprovado com nota";60;"Processo Seletivo - Vestibular";2006;"Formado";2015;"M"
"a3b34926ea1af6a8d122ce54e62d67dc921e9172cbf1b5f29f8c568e70f32ae27437d284dff12d73c7048b56a5e1d312f1c59b64e61125d2ace9820005a03dea5aa8fd01a88ced0d3e488aa043c91010c4a73c5173d0a8dbd23a653093a827c35097de6296631a2b941940cbb61c61c3d2c3897d155dece4f8e1f5933783523eed62c4b6bff7f9f7f1367f72b012692b2badfdad1e25cdef2f7e8c712e032def5e3e6810e8f7c04537970a1645dbf8a3f4c447b28720127245526077645b05476a3c8db15ee1c7c671abc297bec25b6818d667ca258fe0683abc1f10f51386c3522ed9410127394de8e7a6683d24f3e66a3180e8418ba828de93fdbffb88fcf7";"BAEC";2013;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";60;"Processo Seletivo - Vestibular";2006;"Desligamento";2014;"M"
"a4ac75b62a2cd4f1e75b27c74bfe8f41f8e7599fb529273ee59f85cd4e11107e9c35a132a4dbe36b7f1d3841249dd30854e7d72b019ddeb282239fbdb7f4a9760160f764d654a498a8d16628a8853590484bf3b2baffcd5e1a51f42c1d490b75fae75a4b24ab1b55414c770d3a87fe65e9d3c32ee9f5376ea9b158e5b305ec7fe485cbc0c379fe5ce2d9283d3b14c3851ab8200d6c6b26d8649739f01d568bab2d2da860a52398948d2fc838111321ea90269b265321ad0039251109ef3e4e8cdf491f1c94ccebda68451c3c74e20a5910c79d25295b68d5181d87b12d22a7a78cb5a873a65e0b239640d0a2cd0e2396786a0749fc0b964a9472a8a22e729f97";"BAEC";2007;"2. Semestre";"10801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";68;"Processo Seletivo - Vestibular";2006;"Abandono";2009;"M"
"8b1f5cf34446af5881f373d47e416808555e32c0e754c28791bb4ac71cc26c74536fd58bf99051ea397035bf279211f9470673f9fa0ab0b74415e3ee130ac8d7869e364a35836c4c2d60e89f623340d07d86905a69cedd1beac2328e1f236b310523cbb54f5736a830d21e421fc6cd0b1c1469d9824d59c69679afca59834879d2e20a6af6d720e8153dfd0930a978ebf4b6cda453658fb79b11217f841a78bfca9a1b85168cd318c201536b0adb0ec53a46f6373a88df57b28537a7910491336728a09edc16dce1057145ec48cd75f9b2f71f39157ee1f1fa536e5c188d3d0dc49877f6697f5ae5d9c37b1b54462542a3671b49557cc0c5962a0636512660ed";"BAEC";2008;"1. Semestre";"10801";"DESENHO TECNICO I";4;7.3;"Aprovado com nota";68;"Processo Seletivo - Vestibular";2006;"Formado";2013;"M"
"7d870cf700fd7553adda3f98579e2ca768e339537bd32fda2cf889762901f873dd0c84c1860e281f7fc742877cd364a82a4044272519ff82c6cbe4cd59de6da9a79544623e17b5bea866921f50a2a8d3f5117ca5719ea78fe03f6044d23039ebc40fb15e2129201808c7dcd81ea444eba312fd4bd67775eab1b594b90eeb6f98819a9880760b88b3fa629daf469009d549bebb763c5968312d1b264ae79b9710f0e92539bc308962697e1ca431b887176f09a31195794fbe0686bec9e3b51a66c0f225159503962d49ff473f7e42d40f12772759c8196cec783de9ecbb14dc2df24733133ffd5e177c703d268b315df626f233698f2e7f355e71d3ab84085c5c";"BAEC";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;1e+06;"Aproveitamento";60;"Processo Seletivo - Vestibular";2006;"Formado";2013;"M"
"348a0e374a07d1145b95bb1613b4d9994f050e3eef08d8d72cfcebbc8ae1771f1f1fd7a78115073847d97436d8af80868ededb50f4bf7e06b3c37f9afb169040f745f32b467fbb6d278d5fadf01a91c58f13d651a46a289a748be6734519197afd9d6705e9f45eff5309b2466767c73b999aec300e98cc2949dec11c6152fd34802ee0d8ca6948a9ae03bebd6b30f37cc0207fd2c85db99f2872cbd4e9ce1ae7d975cc9affd79605a988b912e721855ba8b645c63c3d32d878db4bfada53dc741c12c274e327e2acb3daf3029be61324b16ee208a6e68eaa641be2d89449d8200f7b7de7974b043b3bd53339070db2876837181bf539c21339339370ffc586fd";"BAEC";2010;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;1e+06;"Trancamento parcial";60;"Processo Seletivo - Vestibular";2006;"Transf. Interna Por Reopção de Curso";2011;"M"
"0ac2a577cabda6cfce32f704bbc1be4425a7c183fc256aec5838c972143d15381810e45fbe87ccd1b4949ea89cb1d0bc5f5443183ce14179aaa085067c024e841ff0e5f6b6c21fab3b37a8cd8db3197b42b55872b4c3a8cfb668ce40842f6512e6f102daf09e3d2eb6502376e7eba71bca4a967f6dc794a15300b0ef3b0baa37d5147dee22f088aa7e7ce49d79d80e800fd7e322236bb5cf2f5461c68799da5b218e93dda14385cd1961b29ef5ee5e6886f294caf25eb6dec974b6ff8162978384632733f0aefcc83dc301238c35081ff4dbc783c3592417a5912001c99ec086c5422f35cfdbea1c80be4a6c485b8d65e30759f154222b4f1c76459961855dbd";"BAEC";2011;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";60;"Processo Seletivo - Vestibular";2006;"Abandono";2013;"M"
