"MATR_ALUNO";"COD_CURSO";"ANO";"PERIODO";"COD_ATIV_CURRIC";"NOME_ATIV_CURRIC";"CREDITOS";"MEDIA_FINAL";"DESCR_SITUACAO";"TOTAL_CARGA_HORARIA";"FORMA_INGRESSO";"ANO_INGRESSO";"FORMA_EVASAO";"ANO_EVASAO";"SEXO"
"c8cbbc73e1a14f6a65bd2b687d290c38c9ad2e5c6e28bcb8c8ce48500e59aacf19c07e613fa766d337aeb804d5250df64d050e9d2485028d4096b0b867cd173e1b70e5e20f2b56e705cd765c784de4c05ff59391e679d3864dcec9a65e026123a69bd0408fe2e5f3af5c2586075cb84f6c8ebf8afa949a4e86627b4cb4a2054940601c54aa44cfa35a8ac51f57683a99b7c9cf40740bb84ff5269aebea55836ba3563fbff2edb049ce68bbc915d1ba8843c08a8e5dbd1c7c8283e90bdce32e9e07a0fd57579be4154245279e3d96f3c75c5798a0c31d54a2b52eefa99e9cbbd87a259f6ab6570f34af8791d5c4d093a22a0e4203ca41cd5711b1b716b66c5c92";"BAEE";2016;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;6.7;"Aproveitamento";60;"Transferência Interna";2016;"Aluno Regular";NA;"M"
"c70280ce402da52b83d9c9fdda866cc11550a651c58f4270625ac31257bd92f2b627f8b4effb7435f9d6210b5394bd85976c67403ecd163f0bc3756c6545fa74103a21eeb2625df82ecd0633895132277e42a546fadc0f6038c3ccdec6047eb9c9dd929abc1eb55f8a35ccbac0dc72e4838f4d0b78d7e2e72247ba80ba4f9b3b53996bef67c14efd7c4f0147d440b8d8b513e15f5242f969128c575f638704a826b75a7db85febd6200419db3b21cdd25f3859471170f4796206142960c28190ae969cab92aa4b0ab5f5c1dd06f3b25aefc54f47db0785471607bd293a67742d7425daa7f3dda207b01eb9e8a9fd0f2455c8d1563e893e045125be8ba7650e2c";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6.4;"Aproveitamento";60;"Transferência Interna";2016;"Transf. Interna Por Reopção de Curso";2016;"F"
"94e47a9447fc2b5da13a1473ef76a9baab4d6e01664e7a9a92b1c86df6dcb1d922546b988bdb93717e0cffefa7460580518fff2854510d19356e102e3aeba8feba539ce5588243f49712068c3ace3758ac29d85aa4db1f1525bfaa0b7668fa6563deb2c94d884dc95b0b3b07e9d1c1134796a70259b5c5cff119c77441f192d7fc937196bf3c418f95af2893b217cb961d8f46d067b2a0f53f914ef638293c7fd6fcd38873b07bdfa83ac1e42fcabdfc7cbe0fb5af51b4471e3c316e9d8f16262a2abc096b34a347dd4ea36b3f274b3d917b6cee09a187ed485fcf24c7e7b55094d4602ffacbd38dbcb4ff33426220cda3836ff1267174ade849f087957f73b3";"BAEE";2016;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;7.5;"Aproveitamento";60;"Transferência Interna";2016;"Formado";2018;"F"
"17a242534468ad55c7ec4ded706814d43d84177c30568fa5eb1cb8ac3ca579132d335f2a28ba60619a23da16da8f7fd6d41c162d6e0545344c2e292750eced98b2e574eba809b5c9e285edf6378b91fc01a06fb1b94766aeff92fe93058b9f84efd57ef939510a57456d6edbc8fae88b716ed7ea3b4c729158db3f5163624fb3d40427b016ba6f98c35853a2ab9ab94c7efd9928331735456a5b8e522678a0593987c6a18ee76e76ffa03c90f05b31210b7ce0f6c13c911aae36f121b11772a88a17154dffbb5cb6f6e336d411d9d2045dd87fc590406010019512136b4ef1642eefd100f6ee052b38d8f7649450f57ef23ed411b17134f81c4f3e8dcad0ef68";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6;"Aproveitamento";60;"Transferência Interna";2016;"Formado";2016;"M"
"0ac97a1f218a7893145a95773c5c66da51236e1b59d8f89d4282b290e2d16a2c2c0fe79f0c98efa26474109f15d02e5f92ae10f3e9a596751193ee9cb6e0ef23b2c3c37eaca8cdf6704831f2c506e70bbf76f96cc0af412f9f6be707a39e9be465c201a78b64a825f914a194991bf52438afce810a64458c0e8d879c0005a64e286d6dc2556c0eeb2fa79c4d35ddf022d8a48d03f0ff055c3c84c8144ee1705bf76c2c0d750caf0a045b36554e7cd28a6b44939114c2e602bf89dc0c1954a84012cab949ba333ac03063e6f6febfb9d3b7f605c9bda4a9127c72c8931df6eecc6d263512d27ffa73dc0cafe25451d084ecdea0c66e37de688f7c7ce3a152d0f2";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6.3;"Aproveitamento";60;"Transferência Interna";2016;"Formado";2018;"M"
"73fb68dc8df05850fa64363b6fc8b46c175a89deb47e6da25692a1b0725313e498c0fed395df80511de21811b0a7d3d374f3f29ac07b93f511b66f732c23cc9fe1f84c38a447d5764a218944998fb0ab6458c9faac7ae2beed5c4ab66d6938fcbea6040880c7955ee28aa7f6ab4c8445b445eca847f45fff0d6d65419e15e31d732bee763e372f18efe4278321a6daae425acfaa34bc277d86371ed49914011f10d582985404461fb0a4f097a70d374224c4126fbf2ae4993e15e92ed667552736447a115255b872cc9a8593760ac2b1d5283c1a92a7ad95a6218842bd1ff5086e25318864400832a42ecffc32b43661f8f29da44850714aa7a519f230eb1238";"BAEE";2016;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;6;"Aproveitamento";60;"Transferência Interna";2016;"Formado";2017;"F"
"9de9348f64ace67da3e5a22a6064bedb0a3429f7831b75ffa3fa663a0f2c5f4c8de6a2636d10f550c14135cc0d07d616928a46ce0abeab89c98f1bcf57ee6328f801bb6bddde3beba6473de91e9c410d118e64f143ee3c0660fc16560cae00fc872149cefd83b593e3c3482ef59f340deb93f06779364408a413d811383fd0fc8b7ae991a9beba96c2567698665c8cc599d3c3357b9ee7cccbb716590f4ca50ba0ee8b4480657992ec55959cf2698bae73d1725ffda6bd2967ecdf7d4ed73afaa16526167b4e12d629ae843b806cb1e41ad7869a0ae05c6cb7e17b3a34f37938fd4b8d84aac71eed4d59f81170fbd4f24c27478cb521d2a1cb43d3b0075c83a0";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6.2;"Aproveitamento";60;"Transferência Interna";2016;"Aluno Regular";NA;"M"
"1e5a36ccdfa54cc03cc2434c5189aa7919e1d4bb8c9b822623ab2a74c130ccdb7dd37c76fc4f078a4a5f3bc72c85ee324ec246de724f6ce4aa7c304ffc0c1172e51fb2092580e5c929a6cd1a1f5088c8d088b078511465fe6c9e9c45eb97f4f43b76539b25505912bf64d8d82438df8af83713327a03b313951c0c409144b8936ed86b220e5233b3ed95960632c2e58785aad3ed56a425b97861740d6576650433146535fa471f98ad68fc04c007678f535970fd51f59a6d83613103ea7018e80f64228c453e80de6c8a376acfae0ffcd21d01bbbbab76fd3f1f98e5e6d9233998edb278d13253fd8812b6b9e0057022f02c03b4af5141f610b71e59edd3ba5c";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6.1;"Aproveitamento";60;"Transferência Interna";2016;"Aluno Regular";NA;"M"
"d3a9f2e4ac9706692b8bde91a9e744dd53c62a6074b152e3144e48ea1c820890388d9d76470e37c527b9c6b4a2774e1c808c5d3988c0c80b050b4d19dc469fa082cc162cb67b5203d810c71cb71cffd1c292b275c82f89dee6ec9aa4ebbbc38aa78b2571175f18993e200c1867b79a854bcfa21513434c27002f8688150daaab840f2e87f3a99ef65d011cc13aa8d8c50b8eaa3948bdfb280a4aea58295912f6ac5bbc579cc78853b8f8fcd32b769646ea1e30b95333851bce82202a44fc4baae1ed0d7d75fe08c3afa4752fff6e3010b60c8c50d1a87f16090a32c85b951a4a137de4f7747e1a9ef62b24ed545fcf5dfe14d74adaeba002aae18ea781265209";"BAEE";2017;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;9.4;"Aprovado com nota";60;"Transferência Interna";2016;"Formado";2017;"M"
"11357787d21ebaa04caa23d010b91e66cbb91b5914f2f5a90e9dbcf5d9c35fd256fe78e87df61d17f6fe5043eb1e1da5a66b7c358c54f8576cd8c276aa65ecd73bccf613dd1e2a48bdf933e6391cc6d8ffb8b968f53b392b9d0e6cf1d2a71621de655726c70102e85ccfdea0f07920ab67d09e181844a65c6d08476c63848879f2f6889d258dfc8153ea970edcc61c2f5af583fa8c9328b9bfa7ffbfcee324adb0fdc49e08c8f2bc43163db6c06d96b1cdb16739ab3098a30645a9608e80e4d27309bd29a320467702351e7d46d4925c566047299cafb0bbf3dabdd7a94cbd774703b843ad1f15bd10b3b2dc63a1a529575001725c8d04c658667a45d982ba99";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6.95;"Aprovado com nota";60;"Transferência Interna";2016;"Aluno Regular";NA;"M"
