"MATR_ALUNO";"COD_CURSO";"ANO";"PERIODO";"COD_ATIV_CURRIC";"NOME_ATIV_CURRIC";"CREDITOS";"MEDIA_FINAL";"DESCR_SITUACAO";"TOTAL_CARGA_HORARIA";"FORMA_INGRESSO";"ANO_INGRESSO";"FORMA_EVASAO";"ANO_EVASAO";"SEXO"
"04c3740e9657f5729abcb967af89acf0aa0ab78578d0b23218d0e4cfed75c53dc74254689d3e8c69f3071e02536c725be714e82cb4db91a28665286d5e9d6d67e17f31c6314c90ff9864bde05e9bdb56f1429f0ec2c6ede2429d216f368d413d922cee92c83a2110a094f4d12ba6040579135fabd2b4415976337718a0bc627951bed37a89a80e11a846116396efbfd2b4d19b773891f82d02f52e54d12c7a93ac656117e8ff88dffd0a65f381e39289b7eeb2b1258f3ef56cc1df3846734b7dabf20fe55ec8f4b12ca28c95122935f90d861f18f589ac87eac6e6ca904a32271b6101534b52442dba5354edc2e5ccc5e729b655cdc888257c43b0910857e877";"BAEP";2007;"2. Semestre";"10802";"DESENHO TECNICO I";2;2;"Reprovado com nota";34;"Processo Seletivo - Vestibular";2006;"Formado";2012;"M"
"05d8052053866d71d32a2b35dcb6e1f4a7634af70eb4d480426ea0fc815391bd3d83e672b237830ad90eaab785dd5200ba2afbdf48022219fa47b18848c3a551abfa1ed911289994cac124f8c9aeb85328ba29ccd5578e655005bc3c5be675201ae4924ae48e5905dd44676c9b2bd856ab4e52d71a451553314462cca18ded508c339eb9fd2e03741e4d3a518515943bf3c70d925ef9f1cf9ae980de18bd95297b0f994a10a9780e65a3bae51ad7cdd8e1dc2691ab8397c0a96879049d1bb7f66b14c255c5847190984d4a120037f038b9fd5d31f9521c8e13f89e447bd5081186cac76383bf4c9d99b1dda68186a38ccf24cd9f1f3380a71a287f278cd58ce0";"BAEP";2008;"2. Semestre";"10801";"DESENHO TECNICO I";4;7.2;"Aprovado com nota";68;"Processo Seletivo - Vestibular";2006;"Formado";2012;"M"
"e35b527d17ca0c501f03eaf54a8eaed9eba8994cbbec8c6ae98f3db88b0cb2cf8aac45b7e11d54c5962246616739bd6ced9f2ce5e08c3901af16a2503268f6752f1e74706f600326985aac17136d87bbaf228eaa541e8ec1f52bf6ae850ad0c4aae42f9059e50129008275d6602e8ca0653e82f9e5b205ddd8bf2cccc7f68644e4bfd1dd9a733a942404f5824df44027a95edf122788309c5d028ea177867e0b80c272dc4c6d896e45d4ae13ad21ea914f71266be7b158c2eac3bb3e5c57348946ee7c8974ca7b19b9d904a0b22e71cf8f459fe38d0ee648f6c5fe69a3965bf080dbfbc4d4b7265aa45951cc49df5fe1d60b8a34a6c14770854a17b6a84521ad";"BAEP";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Aproveitamento";60;"Processo Seletivo - Vestibular";2006;"Formado";2012;"M"
"3712d606bb4b8fbeccce14050191fef1763c580adb09883b022cb812361ae47d5df48c945acd2258e26ad3b547a099ccf00452487439395892a97f0e2d937ab6877655751d90a10ff9b4cbd824900a0138390ca14062d5d5a7daefc370801c2f02b105494bac2ad705769de4a61587e23b8b5a9f21d485ff75e6b605c3aa85fc940f32bbdb98190f51b7bbc62430b749f9a7c9013e036b0cb2d268343729691bc08d36e28e32db98d7c036ba7c2facc455160ca037144153b3ab2f69514c9adf23e0c2a5824ae292c6f953625215791ab0a2667578b99d75e7ecc001b78e650e3242526a76f4cd0752ee3c6d34139939fd1726ed6cf78024b2eb7245682075d6";"BAEP";2007;"1. Semestre";"10802";"DESENHO TECNICO I";2;3.4;"Reprovado com nota";34;"Processo Seletivo - Vestibular";2006;"Formado";2011;"M"
"cdc1e0560537c329fc7deddbda6a58c2b3190f4ee3cca7a816cb1373ceb18a8f531d774b68e7e2e67b048062dc92422ccccddc5cd4c3103b0a3ea7d3ebe9ace1dd5e5cc84eb510c144016b316795d2481b19aee1f6e051b725d985ea02460254596e9aea089c8c7da5142501f5385b29f50d003108cdda03f64bbdab66fb4d61cd9846406f727697ef53dc8c449a6af45baf428dc3a20b3c64e5ed2d3c65c8af0b46e56b20ddecf57b6cd25536dcbcb6df0434d7393e36c79d68fc14b36928fd8b296a1d073028b935896fde59089797395d5f7150a63c9bfa7580f37ee6b7787664eb5478a7aabce105bc02d13cc392a6ba95ccc29682c5ae705e76cad33abc";"BAEP";2007;"2. Semestre";"10801";"DESENHO TECNICO I";4;5.3;"Aprovado com nota";68;"Processo Seletivo - Vestibular";2006;"Formado";2011;"M"
"90b939259fd470b316e0e73e769f67eecea6ff0c7b27c4abe99f9eba2c0e1d352ea8aefd5568209e5a0c8a4e66c1999e48738074d511f8d076cda3a3b3a6db4171626672443b8300a11fd89ae342dd99d826ec3ee67f5ec207fbc5c6a5eb8434a7cce2aecc16e387aa407e8f297a1827dcae7533c91b8bfa3b05a2937207826f03c8b403f7e86fe44714d6979b1c5d6834b0f6a1389900fe4675ab64a6b46c15ab541591db10d28e774d8e54eed7f4f51a6e4392c186eabad0a0e4d36be9d291c08e19ee001099d302679b4e2c50f71ec90ad2c5f7da91e497a29e647af7c17955b03928437881ea984c7d896f57b92799e58f9ee4308b7a4339b67cf4e1de9f";"BAEP";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Aproveitamento";60;"Processo Seletivo - Vestibular";2006;"Formado";2011;"M"
"67d57629179a989c3a559dec135bedff87620067d2764e7a30ab11c92bd832c1bd4d413390c868e5627d0ae20fdcf0d4f5484cffc23dfc90d4e5b6f8f4c8d604e82b4b65376ad78c82a714ae0716e6de6023fc003428dc5f64604919cb2085042bc5d84e3d43b4d4a74546e0481bab0f0fd3d2af93dfb23dcd047be67bdf561560dff170b9e7a15beac9023cbcdac650e43a4394e2d5e76a496218aed48db1baa9f9190178d983800f2d496b29caba3beaf20d0f69e7b96f9dec1959a30f251449e3e7305a9ac98a5a1323b72037e00010f32e6e8cbc71d890277d0e0baa04560e69249552ae0391a4a32e1ba33fcade70bac784acc4a7b7ee06a4fd47a47ce6";"BAEP";2007;"1. Semestre";"10802";"DESENHO TECNICO I";2;0;"Reprovado por Frequência";34;"Processo Seletivo - Vestibular";2006;"Abandono";2007;"M"
"0901e47c505f04063e656242e757b10760e45f5736863e34e7de96ba31f9ffe28184878bc62f408dd33f42e6a53566b0e51146e73987bf059165a2b508ba54c0a124cbbeedb72a4327acde527fb3b8df1d96a4f648b7ac06bd985e052cf62e6f72bf14ff040707a7946f130cf7faa1426c989f6ad29e751bf8d299d6d5d967f67a9b2741272807c1c0a1a00a3c6d03b6f2fe4090e3b73b2da3088b6dbc95913a37ac8698e720fc152ce4546a9d73ee067ab6d74087c19f7728ffdb0c4409a3c155fd9b180e85357734bc90ff824a3e2a5104f91c0b77ac398476d8da3d1e97e4ba185a5d9bf4d6d87e88485509331556e47696eabf4ca4126d1c43a3601f303f";"BAEP";2007;"1. Semestre";"10802";"DESENHO TECNICO I";2;0;"Reprovado por Frequência";34;"Processo Seletivo - Vestibular";2006;"Abandono";2007;"M"
"429639ee1882d10b23f1ff37cb29ccf52506047418daa5f926826440c0b51427c8eccc19f0329726c347ffc9e409ed2c2c6781c63a5a5dbc7363b28ba5152081a23d68c9036dbad7fe20d0efcd1dd97d6890e3cb20dc6b5f7b24e397844f886018b986c5773c0cb93c39bdf935761b0ff95eb5d72d6ea2bf1f76939972d5d8009e8985b2bac237c17cd2cefc68bda6bbd7cc2f87efc5c263ff6dff28adc9568221c20dd7b42ecb357e63879c66c8888ab63a93cc3fe45b82cc099a07ad4c713ccbdf8045159d67dea5431bab6fcde2216afaaf0d61e0589cd3c70a409156c9b2ecdabe529c2480a804204ba94351a8698d075a13e3c6cdd45445583df90c123a";"BAEP";2007;"1. Semestre";"10802";"DESENHO TECNICO I";2;0;"Reprovado por Frequência";34;"Processo Seletivo - Vestibular";2006;"Abandono";2007;"M"
"18b910620aeac956da57206b6d0867b62b599b8c0d5672d6743689cf36cebec1a3c505b9c6c40e7e9cef6f9f4e9d393d696f91dd8bb91fb0f91b49fc63a6a8914649aeeb7e08cc4ba103546e092360959486ca5636bc34d70824221ccd8a21ea23532a99400ed7f9c2d38bf33864635f84d9bfb6f4a07102afc41fffd36e75b68c53e7dc85840c7712552df6508db51199abddc29f2135088511f9cce71ac89fefea4d509fdbe31db5919fcbeb1bbcf8ca8d8efc45a35bb05f9544ffc700d8559a382ab63d3d424e4cd8ddd6bf60a7ae79fd3ba1364f37d3cb39a61ea8501670070eedc61b9fe960696048ff83c75fa4dfeec57d5dbbde834a2230be0d0b4af6";"BAEP";2007;"1. Semestre";"10802";"DESENHO TECNICO I";2;7;"Aprovado com nota";34;"Processo Seletivo - Vestibular";2006;"Desligamento";2015;"M"
