"MATR_ALUNO";"COD_CURSO";"ANO";"PERIODO";"COD_ATIV_CURRIC";"NOME_ATIV_CURRIC";"CREDITOS";"MEDIA_FINAL";"DESCR_SITUACAO";"TOTAL_CARGA_HORARIA";"FORMA_INGRESSO";"ANO_INGRESSO";"FORMA_EVASAO";"ANO_EVASAO";"SEXO"
"c1cadc7baf47650c8a241145c696b45f29bd7c46fcea97ab0fcb1ed4930f8f39c98f343123a120848eeae1a20b19c376e593781cc6a132a87e72296f165ad0b946d544027aa9bd960cdb3421f09c7cbd0ebe39bfcb1bf68c74adb5683a12d7c6bd47158f7b6fbc180d0e746be506a0a11b668092712b879989e2de6ccb9e51fb906d84b2c427d294473a6b87663b2c3eb04822ae16a9df4a345eb7cd821dd8ad7178d5ea7ff61632f2183febe2fca506247e29decdae2b9c498e48fd902913210b011503d5da2210112348a58e256ec8ce6f09c8b202b9fc46f4ed800eaf84a5792ad98131441f06e1bcfcca52f694d5a5aade7cef6948f3150ef7036682612c";"BAEQ";2007;"1. Semestre";"10801";"DESENHO TECNICO I";4;7;"Aprovado com nota";68;"Transf. Interna Por Reopção de Curso";2009;"Formado";2014;"F"
"330d0a68f2165ba3a0ea456b4b1201a95b4e491aa6ac52cb3793086f2c4684caecc0e8caa7d5440f50570b329aec546815a9ebab752545409a09c37209d0508ec8ccdbff8c2de80d15bf0668ddb429cf8e9dec84dcdf2d45ef43563c3876012618f52e04f8a10f00386ae2af910abfdce3a674fa5f3e3fa67946f0ddfbc0a2bab16ef11cd1ce7811eef2644fc4e8e0a03cf0477fd5765ad381dc4e80ff0d83d0ab67747c2e37bb0c7ba5cf2d6adccd896dfd521ea0c253b1c3952a57681083e1998c810ab08d1138667a4d29643c919d46634148cc52ec9fae1592c41c6ff8ec6bd4587baa998cf1f546c377ac96075d5bd506592cf72035c6f9e6927bb2094b";"BAEQ";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Aproveitamento";60;"Transf. Interna Por Reopção de Curso";2009;"Formado";2014;"F"
"4bdd0908a652b053fd797f2cb58376779130decf398b9f31c29ef4d68f7d9d00e32baa598ac9550e7415c134a8ea6fc010943bf9ff3567d94e8396a8f6308fd4d0a67d1f5a2d76a46f35996f8d0fd4ef2aa1e634ce8102542eff82558578def0b44858cb7976408a5eb21382a2aff6c4f105776150886641f23873081db0061eef0841a856c02faf0b6eb5e0bf820cee3bb6d295f726096aff410db1aa5aab9ac96faf30e51762da4005fa4a1d7c7db9fae4b23f340e965de2a004ed2da8aea12041c1fe3e49a9e533a67dce6af9109195f8e466b9178094a1ad5472de336241401c4577cbc515e19f21c284dcb406787c70f36dff6674f8076da233e6d6da4e";"BAEQ";2007;"2. Semestre";"10801";"DESENHO TECNICO I";4;9.4;"Aprovado com nota";68;"Processo Seletivo - Vestibular";2006;"Transferido";2008;"F"
"6a2dc96059bdf00890ff7c3b343f3c0e901e1fcd38fb99c0efe4cb1c220ad5ad64bf85cb0a6f6d5c65f7044f8a8b6e93ceff9f95c589062411cebe9a3cbdec21a2de762e4bb826e975907c7b9f6ce0bb250c149521b17e26a923f73285a57596de1c3666b36b3cd8e64cc86db53602d5b0b4217fbc40e8677f1fd8851253d542540b0f4d9b8988181e9fb2c815d11d8d2bccc91cf7ffaa4c389f3a91329ed86c6ef58a344d812594d6f28e24e95de3efca6951516c0887392a8b3d700337e68d2a92ab1244238e1ddcf296f9ddbbb66079248c6c010aec80ab2a4f74978ca391283f0ce1ab69e8085ebd52177731d4df0f30aed1d6f5d07dd2ef436e49d8190f";"BAEQ";2007;"2. Semestre";"10801";"DESENHO TECNICO I";4;6.2;"Aprovado com nota";68;"Processo Seletivo - Vestibular";2006;"Formado";2011;"M"
"1dad0c04bd48331f693404187423ede3544471640512b1a1f371fb458179aa37e88bbdc213665cde0de798f0a4f8ca33de98c92fdd4f84148dadd55d68c6d19e4106b1d601d195e71b5f9f6e6e4e1b696668df8bb3c840b610891761a12106612394ff8bb07bd373978fce0c67a706af470fbaec70f6738db6e2c3cb5cd1b6e0257452a3240935528c446301a33e612e3fa12c66878b7170bfe48e66645f7fc516fe8e76e1c2e50ceb4ef7d45238eb24aaecb2aa5c3ae221f889c2f01fb2a55fc4bc529ebc378c1c5ed1046a1ab807d455130ef13002b50708ffb9c4364d10ed501b4602860f26befce136329066a07bcc73f7762cdee2c342b768778c362eb3";"BAEQ";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Aproveitamento";60;"Processo Seletivo - Vestibular";2006;"Formado";2011;"M"
"88b89765fde48d0b4deb9df2b1835d5378f7b798da543ac3b8ca7a27d51965fff915a535d45d93b8702ea1d83affdc2094023bbb63c57ff897ca033955e6439f1653523cb59a9ad22df39fdfccc52f151ea5ef9080cfabc48376613ffb98f570bce9f55f19d418251c39cfe25fbedc48a2f959da2af91d258af55b3938a019c12a10e21355d84899515462c836f2a3817f326a35bca30b0cfd798238195d10edb5a6dde2701fd11db0786767639bf8368b2354ff010f964bd641dc3a962d79a843568dda651c2a5e66a42edfd6c576de39e4934a282c8da67367febaa2b856f87e54ff1a5520f261a5a9b6fed125d103126ff49e156f7c4e59b8cf3c3e6ba201";"BAEQ";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;9.1;"Aprovado com nota";60;"Processo Seletivo - Vestibular";2006;"Formado";2012;"F"
"4704a27787f326bf8a46f91880196050183aebce2890c933fbf43934a9c7f07f50fb7de5868184a722fd0bc38829901e54280645d7e3ef18f2ab03abb7e90c1792eac57d130d2545dcfa0fed249a5317a5fa72d462627738ae38c141785e76d12235bd8a393aaa942c0a69e0fc93cf2e1a5393209d2c78d0f13ab1baeaf154c1d91cda339914658d103dbf2f308ce45d97fd14a54764038e828e75667bcd976b7887b4a08b2b4a73320994910546ad9a4db63d8f9ef0e05fba210221627e331bb439d58bb9103c22d00f2ec3458a5c9a7a5622714c5bf430c562190784d9cd82f3a31e1c6060c727d74688b45c01f810580c9f25276ebd1a02667d0ab70dff32";"BAEQ";2007;"2. Semestre";"10801";"DESENHO TECNICO I";4;9.2;"Aprovado com nota";68;"Processo Seletivo - Vestibular";2006;"Formado";2011;"F"
"e87a501c69857b5f94ace175955fbe179e00ef9b98b414a3022e972573e7efa415c8c0327934cb2d7661b1b7991d12df3a28ca2a6e5566538bf4610fb060a228313f46bcdf18b0c290044a34b5b84a584c3c23097e5af9ab68ea9bfad9b6680d56d2a66426b4bd4425c684565b9331f58691afcd5d677fb8cb1b53aa50368b1f5237a86f8ef4a90744b9e1f217b5ec038e26ab80359d751ecf8770692dfaf6174bb829ecdb04d1bceff6c44e8a94d05bcb43c18ea59ecf556edfabcd112790f612adfcbe79e476cb1409699982842555ac9cdacb991b16cf2acbff38ec78e77564ab67fc12e70426b90586f9fdf1c58d642ee1112abb7818513c965c9727813e";"BAEQ";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Aproveitamento";60;"Processo Seletivo - Vestibular";2006;"Formado";2011;"F"
"bd824549747227c80a8fb89604077a9f07e912f24525f43830c2ac1fe885386a9063b594e6cde06fa63fb4a9f9d5bd4ccd5fad867c3b856dbd8bbe7413f343b58c00a652cbaa08a033e056612c8b7796cc015c4c7b35f3316d295580fb2339a628946bbc161fa248037fdc8f158080527db665c69e9b2b2c0b0fb198790f690a93527b56c12c1c6eb4aaef6ea08be05ae04655c2ef0fc65af7918e4b2ebb0ca7d8fcb5132ff6247d36830405d35a8bbc5f2b7d66daec00087aa75faa1c4bd57e14e19e2df76ac08c4af93186f70c120373f318b343f034913e0a25313aa24528d43c82ddfa201f84b9941ebe13d4c0682d468126d2439f2998d2bf2c2e5096b4";"BAEQ";2007;"2. Semestre";"10801";"DESENHO TECNICO I";4;7;"Aprovado com nota";68;"Processo Seletivo - Vestibular";2006;"Formado";2015;"M"
"c3b1ab02b6c8f02016ce345301a0f1a4a115dcc0874c01b007c9d156d446ad4ddf6c077ac93fa017862f0b161d1673835cc62bed97f7e52ad7d31b892820765413f9122ca792aaeb7d1ecd18cffbe220dea52c5ea73297b9ba585d4f017d0bdfd9319b23e2eb8459e69394ddae12fcd20a15343610e9c367a5f209266f6d14dabce4d755c4eaabdb9289660e35d645cfae0975a821abf6f9ca8b32c35f591da543df2f57426905f5fa181a5a61b32053124fc3e6f31af0b39093c39d5564fa043443fde0295d8f5f49cc25940d10a6a9f585bdc78bf7953e30023e6dee707eb859a1ddffb77e3563605dbde2154f99e0bd969331b4ea419cde3fb480852f916d";"BAEQ";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Aproveitamento";60;"Processo Seletivo - Vestibular";2006;"Formado";2015;"M"
