"MATR_ALUNO";"COD_CURSO";"ANO";"PERIODO";"COD_ATIV_CURRIC";"NOME_ATIV_CURRIC";"CREDITOS";"MEDIA_FINAL";"DESCR_SITUACAO";"TOTAL_CARGA_HORARIA";"FORMA_INGRESSO";"ANO_INGRESSO";"FORMA_EVASAO";"ANO_EVASAO";"SEXO"
"0d1cd0874a8e47a6628c4c88e78608c73d2174496f53569087fbd4fe53fe17ebf7e90ff1aaecad3a93ab84caff5fcc397d6c545868ad1dda3007f0d6b110dcdf554a8b484adb004dddb2e2813ad206ecc9ca951bca4da69b99c402bc6f8aff10db73e4b26aeb6db5e663df59c37b903369710d2104448622e832382c474b429bad55beb23db5d46fcf1e5180ce4fd2cb6b2a6535430730312e12c8cd2fca27ba52e8d90f9e0add689e62cb9edcb39a5d0d9a6ded53e3898bb0876dd46c568b3032d19735a4e2657ba88bfac910c7c1587ff83beb55cb9d9e2ac432468165fcf9eecf73bd2737a56d900fe6c575b0d867c8fe47399dcb1fe83172f91b011c235d";"BALF";2012;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";60;"Processo Seletivo - Vestibular";2008;"Cancelamento";2017;"F"
"6b2b6f29e01f746616e5e1f160136bf0a19b312b6ee7cddc66738498c00df72f3015a51886b2465d7f186cd12455f74ad8bd57f91625c96a8dd268a7d12c1e9f73f81e21566a46fd584b0118883ebec2cfd6052ad398aa842ac0e8a51879a8fae44f1d6873730f1049a3d1dfd340d367e5655c6c0527f5b2cd1b35cae324e6115aa38819207d148f553e13cd7e8dc6aa47104d7848dfedc515708238e1112ffcbdfad885c1e81282f06d80dc4cd4bf912f4a716871a4347cc3780abadadde009f92cdac9c09bdd5d1b4f3fe6fc21f57ad96f567039df2e56dd6886deabe7839f628c60de0cfda066fd58f4995dec6f157aa7e0f872dc975ab167dd946b0e5735";"BALF";2011;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;3.8;"Reprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2010;"Abandono";2016;"F"
"b8319387d72a25568ba2f20aa95b16c4511206d10ec7442c16c938252ed6392c7f2540ad0aeb41b20e640794bc618d5c18193df361ed48edbfc908b481b5be1e8a11e725bee8213e384a889e06255bc56a22306c9bd28e9ada56273aac0ca8ad169f5c3790d5e23fc7e91fcac7fc48157b8cb944edae8b94fc5a9200d68b3b5895320c8edbfd49919759bdb0ca65648e7dc37923192b71577b94cce749a9280dc80495e858f58c07ec9e3506f884989d4cee5350fd443aa515b9529b94692f605faff8e47849e100a8845190a2ff1d629afd7b50f45ab28cd0b5ab54bf263afc47ee93888a91ec559e6fa6efdf16f36f1277ac7bc1b2608c2ac3d922a0c84633";"BALF";2011;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;5.2;"Reprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2010;"Abandono";2016;"F"
"42976fef8668af789db240f45aca6884fcb69d2afefe71747069ba37fc3072b6b2442698d7d810892f4b32971e9c62c72893b18c7922759c3b13c068108feaad36e9e93ee638b964832aa8ddd69a0ee88e58c9bbd25388bbaa8b8249f66c6385debeb81cc9f3b6ef0aae4d760194351796b09e725edba4f165b89e1ac2cb86f64cb39cc34deb64f8885b834034049cde6183d69f70f247d3454de675ff0324c71d1d9cf55a22b48f49377d642c91bbc7db31ec4bd93fb24c0465905fb0768ad422abf040de0067f9cae0b115ea7a8d1d1bfab6e2e1c9264017dae50907bbf9c27eb50ba6344342e9be83493fa0998b70aa5d544bcd3232f14529ed6df48ac58c";"BALF";2012;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;4.7;"Reprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2010;"Abandono";2016;"F"
"8add6278c5e03c0dca16d0f3e7e092c5bf08aee33347b2faed5bbc086cafe010d483508eabdcf5913f8fcd871397af81798537bd71fa12b43a639e5e5a053d2f1998646c563d941c93b4fd218134ab50b089393ddab248cef6959b5f1b9f13d64c8ac953ca5875b2502b07181ef274915b81d293d65c4d27db3cbb92b105e8aead5b66c792c38b74e6d9ae0450f9ad633a7f674574f5301cd52f534d87b4218de5b709e6d2e52dedd1fc491ff1291bcb19e72dda1f41a85214ff252764f546a39a40298347570f281705c72313c73d25ea20602cb00a492d9fca63762854c780384ad1c0af78920c3ed5f75b269c9452559fb5cd38388cba21ac60fa7b1fb790";"BALF";2012;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;4;"Reprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2010;"Abandono";2016;"F"
"2d395f1ea1e4bac662105a24a76c1677fbd860e821542cb3fe5f06972fc094a93e39747363a272de27596aef3d0379f9198484770992103c851dbf6081e6f5e51771bc122cf471cdc1d3a5a879500110a2eb5e423bcb4c869a86c3699b55400bd7df239a036d5443736c1fa0181566025636dec7353c8dee55f1204d06159f24f21945d99b41590c015197c97db1d347ccefa889f1e4984a463d2c256328a1827772f789b56e9b2adeab1947d0981d405a3643be4954df2280bcd5a5d67c09ee7289ac0b095f599cf50736a72380994fd54ad27b832c2b1dd292e2594aa124d42f5e522c8cc74409150c8a086068f58478414d49565511e2d2fa6e00bc5545a3";"BALF";2013;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;5.5;"Reprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2010;"Abandono";2016;"F"
"458afa88584f544ac1702f8c451adc8b18ebe9b772f7d711407d6a1de97c9330de398433e3c7083cb5192b28a97e5b8159db68d9626ae211816f9d3a9af3e94a98a066e135299b2a2b94629def72ddd1c206a1c6f25d55465998aac04519cf09601bebb2cac8689f17c87d66dc7cd3bbd0e0e89849a7346801fbc3786b857404a4bfcd26485dd2fa1799ae537e6a526267f43fdae026c8fb8899769bdc9809a4e12507707b4bb5cf9a3a120c11f1751ef0a89d04d1aab38fce70071966caa0e4fca93692ce7be957290cf000a05da153feb018c54ccdb1cf1e465fdac500bde41f1677db524d9c9aa794ea91285507ca57fcd7880fdad8222f28a9f3f9198985";"BALF";2014;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6.3;"Aprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2010;"Abandono";2016;"F"
"ccd24211c1b9e3ff38b5fe0bb5cfe2cff3305bf33942cdc4cb9ec1f831b71d1bcf7260b5b26053eca7102a6686dfbed8fe001f57a57c630ce79934119977c1562054a4d5d158ad0942d3811424cadccdc54459dbb8e1a46575b7370433a06c36c47b139a7600acd07c28729b31c96fb84fb86373493105176040911a72e5bacd3fb9d1f2bac76214e55f064cbd130ba6bb5850729a2950aa3dd276d9f41ba7d69cdea77f2234a636d3a94af58605e92e020b82d4ae1cacdd4f64b3236833cd4402f1e355fdc23ff6df94f05906e7f8a643fbb660ae2682eea42151680b8a46904cd4931923206b3638aa1718b7c3d4dfb19d7fec70e921df620eb6325577405a";"BALF";2011;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";60;"ENEM - Exame Nacional do Ensino Médio";2010;"Abandono";2012;"F"
"a313881c4592c8f67bdcb30416b5aaef242aeae1fa6b5a0f453a911337629e38e6c2ecc89aca9ee1f76c7d759160107da6d3a39eaffb3e15ce768a890f95b6fe98684d74a95bebd82db2025b5ed4a2ee591c6fa6c65caa7afd68f226300fcf89a7d0d3c08324e23b4bad97126c3d3d944ab01bcba541c69941047d4023515f1adbcff4eb4c115e8bbf5345d25f569e70874b5a3a85632119712533629c1b19ab5d67ac81a659228d5f11bc3934159c88972011e859ce432861ef7ae759ee01967759378e33c1ce7165b23f4b55a22dabdddb6f67bba06398fd9a6562c28a284392546314d1bba18a86860f0e023389c2929aabd46ef3aac27a83b0f48376115a";"BALF";2011;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";60;"ENEM - Exame Nacional do Ensino Médio";2010;"Transf. Interna Por Reopção de Curso";2011;"M"
"875e7948c53e1386a008ba5dfb3c812cb174857cc88998a0fa0c190b518c752d02623ff82d9053dcc30cb78475573fab3707cf0210b5b59a9abd856f36b7508843d9c6a2ccd690225f7f25cf34a2e50d01539d477a8e35dfd186cbd5b34eee23895fdfd4ce5ac53cc2971d55ad7fecd80ebe70d426982b169fde076a4526a9b3c2e87d84d23b7c078bc108500ce6db1c0b7ea3c69a134f01ed342eaedd429c7508a9b1c1187f4089054974486d7ac2985fd2e5e13350e911542e1e865c820180cb1cd1e54993bab08ba70833444943286374c2c7726455461d174da066dc94d0cf927391f2e2ff66cbf688590dd2dcb4ec9818098550e98123f2ffaf4df3cf3f";"BALF";2011;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";60;"ENEM - Exame Nacional do Ensino Médio";2010;"Abandono";2012;"M"
