id;SEXO
1;M
2;F
3;F
4;F
5;M
6;F
7;M
8;M
9;M
10;M
11;F
12;M
13;M
14;M
15;F
16;M
17;F
18;F
19;F
20;F
21;M
22;M
23;M
24;M
25;M
26;M
27;M
28;M
29;M
30;M
31;F
32;F
33;F
34;F
35;M
36;F
37;F
38;M
39;F
40;F
41;M
42;M
43;M
44;M
45;M
46;M
47;F
48;F
49;M
50;M
51;M
52;F
53;F
54;M
55;F
56;F
57;M
58;F
59;F
60;M
61;F
62;F
63;F
64;M
65;F
66;F
67;F
68;M
69;F
70;F
71;F
72;F
73;F
74;F
75;M
76;M
77;M
78;F
79;F
80;F
81;F
82;F
83;F
84;F
85;M
86;M
87;F
88;F
89;F
90;F
91;M
92;F
93;F
94;F
95;F
96;M
97;M
98;F
99;M
100;M
101;F
102;F
103;F
104;F
105;F
106;M
107;M
108;F
109;F
110;M
111;M
112;M
113;F
114;M
115;F
116;F
117;F
118;F
119;M
120;F
121;M
122;F
123;F
124;M
125;M
126;M
127;M
128;M
129;M
130;M
131;F
132;M
133;F
134;F
135;M
136;F
137;F
138;F
139;M
140;F
141;M
142;M
143;F
144;M
145;M
146;F
147;M
148;F
149;F
150;M
151;M
152;M
153;M
154;F
155;M
156;M
157;F
158;F
159;F
160;M
161;M
162;M
163;M
164;F
165;F
166;M
167;M
168;M
169;M
170;M
171;F
172;M
173;M
174;F
175;M
176;M
177;F
178;F
179;F
180;F
181;F
182;F
183;F
184;M
185;M
186;F
187;F
188;F
189;M
190;M
191;M
192;F
193;M
194;M
195;F
196;F
197;F
198;F
199;F
200;F
201;F
202;F
203;F
204;M
205;F
206;M
207;M
208;F
209;F
210;F
211;F
212;M
213;M
214;F
215;M
216;M
217;M
218;F
219;F
220;M
221;M
222;F
223;M
224;F
225;F
226;F
227;F
228;M
229;M
230;M
231;M
232;M
233;F
234;F
235;M
236;M
237;F
238;M
239;F
240;F
241;M
242;M
243;F
244;F
245;M
246;M
247;M
248;F
249;F
250;M
251;F
252;F
253;M
254;M
255;M
256;M
257;M
258;M
259;M
260;M
261;F
262;F
263;F
264;M
265;M
266;M
267;M
268;F
269;F
270;M
271;M
272;M
273;M
274;M
275;M
276;M
277;M
278;M
279;M
280;M
281;F
282;F
283;M
284;F
285;M
286;F
287;F
288;M
289;M
290;F
291;F
292;F
293;M
294;M
295;M
296;F
297;F
298;F
299;F
300;F
301;M
302;F
303;F
304;F
305;F
306;F
307;F
308;F
309;F
310;F
311;F
312;M
313;M
314;M
315;M
316;F
317;M
318;M
319;M
320;F
321;F
322;M
323;F
324;F
325;F
326;F
327;F
328;F
329;F
330;F
331;F
332;F
333;F
334;F
335;F
336;F
337;F
338;F
339;F
340;M
341;F
342;F
343;F
344;F
345;M
346;M
347;M
348;F
349;F
350;F
351;F
352;F
353;F
354;F
355;M
356;M
357;M
358;M
359;F
360;F
361;M
362;M
363;F
364;M
365;F
366;M
367;M
368;M
369;M
370;M
371;M
372;M
373;F
374;M
375;M
376;F
377;M
378;M
379;M
380;M
381;M
382;M
383;F
384;F
385;F
386;F
387;F
388;M
389;F
390;F
391;M
392;M
393;F
394;F
395;F
396;F
397;F
398;F
399;F
400;M
401;M
402;M
403;M
404;F
405;M
406;M
407;M
408;F
409;F
410;M
411;M
412;F
413;M
414;M
415;F
416;F
417;F
418;M
419;M
420;F
421;M
422;F
423;F
424;F
425;F
426;F
427;F
428;F
429;M
430;M
431;M
432;F
433;F
434;F
435;M
436;M
437;F
438;F
439;M
440;M
441;M
442;M
443;M
444;M
445;M
446;M
447;M
448;M
449;F
450;F
